episode,steps,collisions,timeout,runtime_s,success
0,0,1,0,2.909,0
1,0,1,0,4.828,1
2,0,2,0,3.429,0
3,0,2,0,4.472,1
4,0,2,0,6.391,1
5,0,2,0,8.510,1
6,0,3,0,6.755,0
7,0,3,0,4.856,1
8,0,3,0,3.809,1
9,0,3,0,4.306,1
10,0,4,0,1.156,0
11,0,4,0,5.914,1
12,0,4,0,8.712,1
13,0,4,0,5.574,1
14,0,5,0,2.636,0
15,0,5,0,6.927,1
16,0,5,0,5.506,1
17,0,5,0,6.177,1
18,0,5,0,8.695,1
19,0,5,0,4.608,1
20,0,5,0,8.540,1
21,0,5,0,6.187,1
22,0,5,0,64.789,0
23,0,5,0,4.536,1
24,0,5,0,9.214,1
25,0,6,0,1.800,0
26,0,6,0,7.963,1
27,0,7,0,4.526,0
28,0,8,0,0.792,0
29,0,8,0,6.099,1
30,0,9,0,0.850,0
31,0,10,0,5.580,0
32,0,10,0,64.773,0
33,0,11,0,1.491,0
34,0,12,0,9.021,0
35,0,13,0,32.893,0
36,0,13,0,6.313,1
37,0,14,0,0.110,0
38,0,14,0,9.803,1
39,0,14,0,8.636,1
40,0,14,0,1.741,1
41,0,14,0,6.756,1
42,0,14,0,9.844,1
43,0,14,0,7.315,1
44,0,14,0,7.677,1
45,0,14,0,7.192,1
46,0,14,0,8.230,1
47,0,15,0,31.248,0
48,0,15,0,3.276,1
49,0,15,0,8.338,1
50,0,16,0,6.252,0
51,0,17,0,1.776,0
52,0,17,0,7.949,1
53,0,17,0,14.594,1
54,0,18,0,10.196,0
55,0,18,0,2.239,1
56,0,19,0,4.958,0
57,0,19,0,4.580,1
58,0,20,0,4.487,0
59,0,20,0,8.310,1
60,0,21,0,2.521,0
61,0,21,0,71.917,0
62,0,21,0,7.028,1
63,0,21,0,3.337,1
64,0,22,0,3.085,0
65,0,23,0,18.400,0
66,0,24,0,9.911,0
67,0,24,0,6.410,1
68,0,25,0,5.574,0
69,0,26,0,6.950,0
70,0,27,0,1.541,0
71,0,27,0,6.735,1
72,0,28,0,10.216,0
73,0,28,0,0.115,1
74,0,28,0,5.967,1
75,0,28,0,5.476,1
76,0,28,0,17.391,1
77,0,28,0,10.447,1
78,0,28,0,2.415,1
79,0,29,0,27.554,0
80,0,30,0,6.883,0
81,0,30,0,6.818,1
82,0,30,0,11.287,1
83,0,30,0,74.499,0
84,0,31,0,5.326,0
85,0,31,0,7.647,1
86,0,32,0,3.553,0
87,0,32,0,17.009,1
88,0,33,0,3.040,0
89,0,34,0,2.193,0
90,0,34,0,7.683,1
91,0,34,0,2.995,1
92,0,35,0,5.355,0
93,0,35,0,65.882,0
94,0,36,0,2.648,0
95,0,36,0,2.769,1
96,0,36,0,10.144,1
97,0,36,0,9.648,1
98,0,36,0,8.027,1
99,0,36,0,10.728,1
100,0,37,0,58.771,0
101,0,38,0,6.164,0
102,0,39,0,73.807,0
103,0,40,0,0.235,0
104,0,40,0,7.014,1
105,0,40,0,8.083,1
106,0,41,0,2.531,0
107,0,42,0,4.755,0
108,0,42,0,6.519,1
109,0,42,0,9.337,1
110,0,43,0,3.940,0
111,0,43,0,7.143,1
112,0,43,0,5.414,1
113,0,44,0,2.601,0
114,0,44,0,6.787,1
115,0,44,0,17.314,1
116,0,45,0,4.473,0
117,0,45,0,4.793,1
118,0,46,0,14.118,0
119,0,47,0,1.441,0
120,0,47,0,2.690,1
121,0,47,0,4.361,1
122,0,47,0,6.384,1
123,0,48,0,0.285,0
124,0,48,0,5.166,1
125,0,48,0,63.270,0
126,0,48,0,9.678,1
127,0,48,0,0.239,1
128,0,49,0,8.907,0
129,0,49,0,8.073,1
130,0,50,0,2.230,0
131,0,51,0,2.220,0
132,0,51,0,7.959,1
