episode,steps,collisions,timeout,runtime_s,success
0,0,1,0,0.199,0
1,0,1,0,72.371,1
2,0,1,0,13.112,1
3,0,2,0,0.142,0
4,0,3,0,7.080,0
5,0,3,0,4.828,1
6,0,4,0,0.215,0
7,0,5,0,0.137,0
8,0,5,0,5.542,1
9,0,5,0,3.317,1
10,0,6,0,0.111,0
11,0,6,0,2.936,1
12,0,6,0,6.233,1
13,0,7,0,1.050,0
14,0,7,0,6.632,1
15,0,8,0,0.128,0
16,0,8,0,20.126,1
17,0,9,0,15.375,0
18,0,9,0,7.947,1
19,0,9,0,3.074,1
20,0,9,0,5.065,1
21,0,10,0,0.109,0
22,0,10,0,6.222,1
23,0,10,0,5.168,1
24,0,10,0,5.189,1
25,0,11,0,0.136,0
26,0,11,0,5.202,1
27,0,11,0,13.619,1
28,0,12,0,1.665,0
29,0,13,0,0.309,0
30,0,13,0,2.769,1
31,0,14,0,0.131,0
32,0,14,0,7.427,1
33,0,14,0,1.876,1
34,0,15,0,0.992,0
35,0,15,0,24.341,1
36,0,15,0,28.961,1
37,0,15,0,4.171,1
38,0,15,0,2.656,1
39,0,15,0,70.300,0
40,0,15,0,66.737,0
41,0,15,0,3.363,1
42,0,16,0,0.139,0
43,0,16,0,8.599,1
44,0,17,0,0.140,0
45,0,17,0,71.771,0
46,0,18,0,8.276,0
47,0,19,0,0.165,0
48,0,19,0,42.138,1
49,0,20,0,0.129,0
50,0,20,0,3.936,1
51,0,20,0,5.222,1
52,0,21,0,54.209,0
53,0,21,0,6.059,1
54,0,22,0,0.159,0
55,0,22,0,5.879,1
56,0,22,0,10.425,1
57,0,22,0,7.481,1
58,0,23,0,0.129,0
59,0,23,0,0.147,1
60,0,23,0,7.046,1
61,0,23,0,11.463,1
62,0,23,0,23.211,1
63,0,24,0,55.409,0
64,0,24,0,1.547,1
65,0,25,0,0.168,0
66,0,26,0,0.148,0
67,0,26,0,12.649,1
68,0,26,0,0.136,1
69,0,27,0,0.451,0
70,0,27,0,7.358,1
71,0,27,0,5.307,1
72,0,27,0,1.915,1
73,0,27,0,69.513,0
74,0,27,0,4.039,1
75,0,27,0,2.671,1
76,0,27,0,3.103,1
77,0,27,0,4.514,1
78,0,28,0,0.138,0
79,0,29,0,0.876,0
80,0,29,0,7.110,1
81,0,29,0,7.726,1
82,0,30,0,0.312,0
83,0,30,0,8.261,1
84,0,31,0,24.518,0
85,0,31,0,7.834,1
86,0,32,0,0.135,0
87,0,33,0,0.174,0
88,0,33,0,3.995,1
89,0,33,0,9.870,1
90,0,33,0,12.566,1
91,0,33,0,6.954,1
92,0,34,0,0.142,0
93,0,34,0,10.905,1
94,0,34,0,8.463,1
95,0,34,0,71.116,0
96,0,34,0,6.555,1
97,0,34,0,4.330,1
98,0,35,0,0.138,0
99,0,35,0,66.474,1
