episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,6.879,1
1,0,0,0,2.056,1
2,0,0,0,3.510,1
3,0,0,0,2.680,1
4,0,0,0,1.717,1
5,0,1,0,1.146,0
6,0,2,0,0.292,0
7,0,2,0,1.756,1
8,0,2,0,2.351,1
9,0,3,0,2.481,0
10,0,3,0,9.718,1
11,0,3,0,0.039,1
12,0,4,0,2.607,0
13,0,5,0,0.937,0
14,0,6,0,0.476,0
15,0,7,0,11.636,0
16,0,7,0,1.900,1
17,0,7,0,3.112,1
18,0,7,0,2.499,1
19,0,8,0,6.475,0
20,0,9,0,2.085,0
21,0,10,0,1.898,0
22,0,11,0,0.948,0
23,0,11,0,3.995,1
24,0,12,0,0.320,0
25,0,12,0,1.045,1
26,0,12,0,3.864,1
27,0,12,0,2.156,1
28,0,13,0,3.819,0
29,0,13,0,0.957,1
30,0,14,0,2.101,0
31,0,14,0,2.266,1
32,0,15,0,3.254,0
33,0,16,0,1.759,0
34,0,16,0,6.321,1
35,0,17,0,2.578,0
36,0,18,0,1.326,0
37,0,18,0,4.493,1
38,0,19,0,2.820,0
39,0,20,0,0.543,0
40,0,20,0,1.739,1
41,0,21,0,1.049,0
42,0,22,0,0.327,0
43,0,23,0,8.910,0
44,0,24,0,0.687,0
45,0,25,0,2.703,0
46,0,25,0,1.721,1
47,0,25,0,4.184,1
48,0,25,0,2.710,1
49,0,25,0,13.481,1
50,0,25,0,3.843,1
51,0,25,0,4.848,1
52,0,25,0,2.538,1
53,0,26,0,1.277,0
54,0,26,0,3.472,1
55,0,27,0,2.379,0
56,0,28,0,1.146,0
57,0,28,0,1.518,1
58,0,28,0,3.803,1
59,0,29,0,0.706,0
60,0,30,0,2.868,0
61,0,30,0,6.814,1
62,0,31,0,0.970,0
63,0,31,0,3.912,1
64,0,31,0,4.961,1
65,0,32,0,2.462,0
66,0,33,0,0.631,0
67,0,33,0,4.136,1
68,0,33,0,4.122,1
69,0,33,0,3.224,1
70,0,34,0,5.352,0
71,0,34,0,4.335,1
72,0,34,0,1.475,1
73,0,35,0,2.635,0
74,0,36,0,1.458,0
75,0,37,0,1.365,0
76,0,37,0,5.351,1
77,0,37,0,1.877,1
78,0,38,0,0.676,0
79,0,39,0,3.097,0
80,0,40,0,0.174,0
81,0,41,0,0.873,0
82,0,42,0,1.657,0
83,0,42,0,4.673,1
84,0,42,0,2.772,1
85,0,42,0,1.329,1
86,0,42,0,7.010,1
87,0,42,0,2.436,1
88,0,42,0,1.046,1
89,0,42,0,4.392,1
90,0,42,0,5.159,1
91,0,42,0,11.492,1
92,0,43,0,1.208,0
93,0,44,0,1.725,0
94,0,45,0,3.679,0
95,0,46,0,1.919,0
96,0,47,0,0.302,0
97,0,48,0,0.711,0
98,0,48,0,2.875,1
99,0,48,0,3.033,1
100,0,48,0,1.214,1
101,0,49,0,3.731,0
102,0,50,0,1.439,0
103,0,50,0,2.844,1
104,0,51,0,2.299,0
105,0,51,0,0.816,1
106,0,51,0,1.239,1
107,0,52,0,1.735,0
108,0,53,0,3.781,0
109,0,53,0,1.546,1
110,0,53,0,0.028,1
111,0,54,0,0.782,0
112,0,55,0,0.972,0
113,0,56,0,0.604,0
114,0,56,0,3.280,1
115,0,57,0,0.210,0
116,0,58,0,0.939,0
117,0,58,0,3.842,1
118,0,58,0,2.479,1
119,0,58,0,17.013,0
120,0,58,0,5.698,1
121,0,59,0,0.792,0
122,0,60,0,0.797,0
123,0,61,0,0.274,0
