episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,0.629,1
1,0,0,0,2.536,1
2,0,1,0,3.038,0
3,0,2,0,2.899,0
4,0,3,0,0.599,0
5,0,3,0,7.938,1
6,0,3,0,1.255,1
7,0,3,0,21.726,0
8,0,4,0,1.526,0
9,0,4,0,11.418,1
10,0,5,0,3.044,0
11,0,5,0,5.694,1
12,0,5,0,11.291,1
13,0,5,0,16.861,1
14,0,5,0,21.114,0
15,0,5,0,2.681,1
16,0,5,0,1.460,1
17,0,5,0,1.806,1
18,0,6,0,0.449,0
19,0,7,0,5.668,0
20,0,7,0,1.169,1
21,0,7,0,11.227,1
22,0,8,0,0.787,0
23,0,8,0,6.943,1
24,0,8,0,4.792,1
25,0,9,0,4.794,0
26,0,9,0,21.416,0
27,0,9,0,20.560,0
28,0,9,0,2.547,1
29,0,9,0,4.477,1
30,0,10,0,1.930,0
31,0,11,0,3.325,0
32,0,12,0,2.304,0
33,0,13,0,3.349,0
34,0,13,0,6.152,1
35,0,14,0,1.527,0
36,0,15,0,1.730,0
37,0,15,0,2.382,1
38,0,15,0,1.852,1
39,0,16,0,0.749,0
40,0,16,0,20.879,0
41,0,16,0,22.195,0
42,0,16,0,2.577,1
43,0,17,0,4.804,0
44,0,18,0,1.176,0
45,0,19,0,7.679,0
46,0,19,0,3.840,1
47,0,19,0,6.093,1
48,0,19,0,3.629,1
49,0,19,0,7.599,1
50,0,19,0,20.880,0
51,0,19,0,3.257,1
52,0,20,0,1.353,0
53,0,20,0,11.826,1
54,0,21,0,3.509,0
55,0,21,0,2.035,1
56,0,21,0,11.944,1
57,0,21,0,3.811,1
58,0,21,0,3.249,1
59,0,21,0,2.292,1
60,0,21,0,14.429,1
61,0,22,0,1.487,0
62,0,22,0,4.158,1
63,0,23,0,0.739,0
64,0,23,0,21.032,0
65,0,23,0,5.770,1
66,0,24,0,0.727,0
67,0,25,0,1.733,0
68,0,25,0,21.215,0
69,0,25,0,7.224,1
70,0,26,0,4.241,0
71,0,26,0,5.843,1
72,0,27,0,2.581,0
73,0,28,0,2.893,0
74,0,29,0,1.082,0
75,0,29,0,3.564,1
76,0,30,0,2.221,0
77,0,30,0,11.382,1
78,0,30,0,4.489,1
79,0,30,0,20.686,0
80,0,31,0,0.600,0
81,0,32,0,10.059,0
82,0,32,0,21.185,0
83,0,32,0,20.103,0
84,0,33,0,1.437,0
85,0,33,0,4.948,1
86,0,33,0,2.431,1
87,0,33,0,21.120,0
88,0,33,0,8.883,1
89,0,34,0,4.086,0
90,0,34,0,3.209,1
91,0,34,0,6.364,1
92,0,35,0,9.944,0
93,0,36,0,2.222,0
94,0,37,0,5.012,0
95,0,38,0,5.463,0
96,0,38,0,2.471,1
97,0,39,0,0.678,0
98,0,39,0,4.266,1
99,0,39,0,19.990,0
100,0,40,0,6.492,0
101,0,40,0,13.947,1
102,0,40,0,4.727,1
103,0,40,0,5.378,1
104,0,40,0,1.438,1
105,0,40,0,1.767,1
106,0,40,0,1.395,1
107,0,41,0,1.860,0
108,0,42,0,2.960,0
109,0,42,0,5.443,1
110,0,43,0,3.081,0
111,0,43,0,1.005,1
112,0,43,0,4.451,1
113,0,43,0,2.530,1
114,0,43,0,9.017,1
115,0,44,0,9.527,0
116,0,44,0,3.132,1
117,0,44,0,2.840,1
118,0,44,0,2.913,1
119,0,44,0,8.440,1
120,0,44,0,20.583,0
121,0,45,0,1.678,0
122,0,46,0,3.911,0
123,0,47,0,2.232,0
124,0,48,0,6.631,0
125,0,48,0,1.153,1
126,0,49,0,0.897,0
127,0,50,0,0.888,0
128,0,50,0,20.249,0
129,0,50,0,7.422,1
130,0,51,0,5.642,0
131,0,52,0,6.760,0
132,0,53,0,6.236,0
133,0,53,0,3.335,1
134,0,53,0,8.693,1
135,0,54,0,3.361,0
136,0,55,0,2.149,0
137,0,56,0,4.341,0
138,0,56,0,3.797,1
139,0,57,0,1.390,0
140,0,57,0,4.444,1
141,0,57,0,2.952,1
142,0,57,0,4.971,1
143,0,58,0,0.597,0
144,0,58,0,8.583,1
145,0,58,0,3.330,1
146,0,59,0,3.081,0
147,0,60,0,3.182,0
148,0,60,0,1.127,1
