episode,steps,collisions,timeout,runtime_s,success
0,0,1,0,2.976,0
1,0,1,0,64.890,0
2,0,2,0,0.972,0
3,0,3,0,1.566,0
4,0,4,0,1.438,0
5,0,4,0,1.668,1
6,0,5,0,1.172,0
7,0,5,0,64.658,0
8,0,6,0,1.070,0
9,0,7,0,3.067,0
10,0,8,0,0.126,0
11,0,9,0,1.491,0
12,0,10,0,2.010,0
13,0,11,0,2.363,0
14,0,12,0,5.135,0
15,0,13,0,2.265,0
16,0,14,0,1.477,0
17,0,14,0,65.346,0
18,0,15,0,2.382,0
19,0,16,0,2.479,0
20,0,17,0,6.819,0
21,0,18,0,4.048,0
22,0,19,0,0.868,0
23,0,20,0,1.403,0
24,0,21,0,5.072,0
25,0,22,0,4.192,0
26,0,23,0,0.869,0
27,0,24,0,5.714,0
28,0,25,0,2.420,0
29,0,26,0,0.811,0
30,0,26,0,66.058,0
31,0,27,0,2.287,0
32,0,27,0,7.608,1
33,0,28,0,0.109,0
34,0,29,0,4.745,0
35,0,30,0,1.548,0
36,0,30,0,65.292,0
37,0,30,0,0.370,1
38,0,31,0,1.376,0
39,0,32,0,0.953,0
40,0,33,0,5.620,0
41,0,34,0,5.019,0
42,0,35,0,3.858,0
43,0,35,0,64.554,0
44,0,36,0,3.943,0
45,0,37,0,2.391,0
46,0,37,0,65.098,0
47,0,37,0,63.914,0
48,0,38,0,0.709,0
49,0,39,0,1.511,0
50,0,40,0,2.694,0
51,0,41,0,5.591,0
52,0,42,0,3.329,0
53,0,43,0,0.560,0
54,0,44,0,0.726,0
55,0,45,0,3.023,0
56,0,46,0,1.633,0
57,0,47,0,1.439,0
58,0,48,0,4.265,0
59,0,49,0,1.347,0
60,0,50,0,2.297,0
61,0,51,0,2.796,0
62,0,51,0,63.255,0
63,0,51,0,3.094,1
64,0,52,0,2.372,0
65,0,53,0,1.410,0
66,0,54,0,1.120,0
67,0,55,0,1.940,0
68,0,55,0,64.840,0
69,0,56,0,1.575,0
70,0,57,0,0.800,0
71,0,57,0,64.499,0
72,0,58,0,3.237,0
73,0,59,0,5.226,0
74,0,60,0,6.566,0
75,0,61,0,5.702,0
76,0,62,0,1.963,0
77,0,63,0,5.477,0
78,0,64,0,1.089,0
79,0,65,0,1.026,0
80,0,66,0,0.767,0
81,0,67,0,0.926,0
82,0,67,0,63.247,0
83,0,68,0,0.602,0
84,0,69,0,4.246,0
85,0,70,0,1.229,0
86,0,71,0,1.388,0
87,0,72,0,1.018,0
88,0,73,0,1.141,0
89,0,74,0,1.994,0
90,0,75,0,4.090,0
91,0,76,0,3.567,0
92,0,77,0,4.647,0
93,0,78,0,3.925,0
94,0,79,0,2.323,0
95,0,80,0,0.980,0
96,0,81,0,4.083,0
97,0,82,0,1.612,0
98,0,83,0,1.302,0
99,0,84,0,4.476,0
100,0,85,0,1.115,0
101,0,86,0,1.311,0
102,0,87,0,1.894,0
103,0,88,0,1.400,0
104,0,89,0,1.830,0
105,0,90,0,1.648,0
106,0,91,0,3.785,0
107,0,92,0,1.635,0
108,0,93,0,5.826,0
109,0,94,0,1.885,0
110,0,95,0,1.654,0
111,0,96,0,2.786,0
112,0,97,0,3.217,0
113,0,98,0,3.657,0
114,0,99,0,6.143,0
115,0,99,0,63.089,0
116,0,100,0,3.386,0
117,0,101,0,1.877,0
118,0,102,0,4.841,0
119,0,103,0,5.246,0
120,0,104,0,2.051,0
121,0,105,0,0.928,0
122,0,106,0,2.546,0
123,0,107,0,3.829,0
124,0,108,0,3.597,0
125,0,109,0,1.181,0
126,0,110,0,4.096,0
127,0,111,0,1.492,0
128,0,112,0,2.590,0
129,0,113,0,1.588,0
130,0,114,0,5.069,0
131,0,115,0,5.668,0
132,0,116,0,3.153,0
133,0,117,0,3.076,0
134,0,118,0,1.019,0
135,0,119,0,3.675,0
136,0,120,0,3.215,0
137,0,121,0,1.576,0
138,0,122,0,1.586,0
139,0,123,0,3.119,0
140,0,124,0,0.737,0
141,0,124,0,61.911,0
142,0,125,0,0.969,0
143,0,125,0,63.540,0
144,0,125,0,61.633,0
145,0,125,0,61.915,0
146,0,125,0,62.556,0
147,0,125,0,0.506,1
148,0,126,0,1.258,0
149,0,126,0,5.934,1
150,0,127,0,1.748,0
151,0,128,0,1.877,0
152,0,129,0,0.452,0
153,0,130,0,5.905,0
154,0,131,0,2.975,0
155,0,132,0,2.766,0
156,0,133,0,2.144,0
157,0,134,0,3.615,0
158,0,135,0,1.392,0
159,0,136,0,2.067,0
160,0,137,0,1.506,0
161,0,138,0,1.464,0
162,0,139,0,3.834,0
163,0,140,0,5.592,0
164,0,141,0,2.508,0
165,0,142,0,3.836,0
166,0,143,0,3.417,0
167,0,144,0,2.165,0
168,0,145,0,1.313,0
169,0,146,0,4.242,0
170,0,147,0,5.450,0
171,0,148,0,4.296,0
172,0,148,0,64.632,0
173,0,149,0,1.970,0
174,0,150,0,0.814,0
175,0,151,0,2.113,0
176,0,151,0,62.531,0
177,0,152,0,2.998,0
178,0,153,0,3.434,0
179,0,154,0,1.390,0
180,0,155,0,2.183,0
181,0,156,0,1.625,0
182,0,157,0,2.084,0
183,0,158,0,1.475,0
184,0,158,0,63.710,0
185,0,158,0,64.514,0
186,0,159,0,4.992,0
187,0,160,0,3.747,0
188,0,161,0,2.061,0
189,0,162,0,3.921,0
190,0,163,0,2.369,0
191,0,163,0,62.709,0
192,0,163,0,62.446,0
193,0,164,0,5.310,0
194,0,164,0,63.565,0
195,0,165,0,3.354,0
196,0,166,0,2.119,0
197,0,166,0,62.188,0
198,0,166,0,2.236,1
199,0,167,0,1.376,0
200,0,168,0,0.708,0
201,0,169,0,3.353,0
202,0,170,0,3.247,0
203,0,171,0,0.916,0
204,0,172,0,1.704,0
205,0,173,0,4.159,0
206,0,174,0,1.092,0
207,0,175,0,1.336,0
208,0,176,0,3.955,0
209,0,177,0,0.874,0
210,0,178,0,2.103,0
211,0,179,0,1.048,0
212,0,179,0,61.643,0
213,0,180,0,2.038,0
214,0,180,0,63.425,0
215,0,180,0,64.554,0
216,0,181,0,2.079,0
217,0,182,0,1.559,0
218,0,183,0,2.899,0
219,0,184,0,0.509,0
220,0,185,0,0.120,0
221,0,186,0,2.112,0
222,0,187,0,1.560,0
223,0,188,0,2.918,0
224,0,189,0,6.277,0
225,0,190,0,3.578,0
226,0,191,0,2.608,0
227,0,192,0,3.614,0
228,0,193,0,0.957,0
229,0,194,0,4.998,0
230,0,195,0,2.321,0
231,0,196,0,2.657,0
232,0,196,0,65.121,0
233,0,197,0,1.584,0
234,0,198,0,1.235,0
235,0,199,0,6.159,0
236,0,199,0,64.561,0
237,0,199,0,62.475,0
238,0,200,0,3.382,0
239,0,201,0,5.529,0
240,0,202,0,3.102,0
241,0,203,0,2.251,0
242,0,204,0,3.789,0
243,0,204,0,62.775,0
244,0,205,0,1.028,0
245,0,206,0,3.043,0
246,0,207,0,4.891,0
247,0,208,0,3.479,0
