episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,23.621,0
1,0,0,0,24.317,0
2,0,0,0,2.747,1
3,0,0,0,2.977,1
4,0,0,0,5.040,1
5,0,0,0,22.993,0
6,0,1,0,1.238,0
7,0,1,0,22.226,0
8,0,2,0,1.874,0
9,0,3,0,0.718,0
10,0,3,0,22.181,0
11,0,4,0,1.930,0
12,0,5,0,0.041,0
13,0,5,0,23.423,0
14,0,6,0,1.945,0
15,0,6,0,4.351,1
16,0,6,0,1.764,1
17,0,6,0,4.738,1
18,0,7,0,0.520,0
19,0,7,0,2.345,1
20,0,7,0,2.465,1
21,0,8,0,1.208,0
22,0,9,0,1.438,0
23,0,9,0,5.975,1
24,0,9,0,1.184,1
25,0,9,0,2.927,1
26,0,9,0,22.831,0
27,0,10,0,1.047,0
28,0,10,0,6.313,1
29,0,10,0,4.912,1
30,0,10,0,22.936,0
31,0,10,0,2.596,1
32,0,11,0,2.319,0
33,0,12,0,14.393,0
34,0,12,0,13.599,1
35,0,13,0,3.148,0
36,0,13,0,2.086,1
37,0,14,0,2.374,0
38,0,14,0,22.556,0
39,0,14,0,3.939,1
40,0,14,0,3.658,1
41,0,14,0,5.288,1
42,0,14,0,2.293,1
43,0,14,0,3.358,1
44,0,14,0,11.753,1
45,0,14,0,2.468,1
46,0,15,0,14.369,0
47,0,15,0,0.044,1
48,0,15,0,5.021,1
49,0,15,0,16.550,1
50,0,16,0,0.425,0
51,0,17,0,1.696,0
52,0,17,0,10.626,1
53,0,18,0,2.191,0
54,0,18,0,4.533,1
55,0,18,0,15.672,1
56,0,19,0,0.304,0
57,0,19,0,20.246,1
58,0,20,0,0.729,0
59,0,20,0,6.691,1
60,0,21,0,4.498,0
61,0,22,0,20.028,0
62,0,22,0,6.169,1
63,0,23,0,1.695,0
64,0,23,0,6.911,1
65,0,24,0,1.011,0
66,0,24,0,5.239,1
67,0,24,0,22.283,0
68,0,24,0,1.206,1
69,0,25,0,10.201,0
70,0,25,0,11.701,1
71,0,26,0,4.492,0
72,0,26,0,22.540,0
73,0,27,0,5.234,0
74,0,27,0,8.337,1
75,0,28,0,3.070,0
76,0,29,0,1.835,0
77,0,30,0,8.510,0
78,0,30,0,2.325,1
79,0,30,0,2.801,1
80,0,30,0,3.054,1
81,0,30,0,2.616,1
82,0,31,0,2.969,0
83,0,31,0,0.799,1
84,0,31,0,4.082,1
85,0,32,0,2.964,0
86,0,32,0,23.513,0
87,0,33,0,2.298,0
88,0,33,0,1.416,1
89,0,33,0,3.434,1
90,0,34,0,0.637,0
91,0,34,0,2.100,1
92,0,34,0,1.854,1
93,0,34,0,3.995,1
94,0,35,0,1.552,0
95,0,36,0,1.646,0
96,0,37,0,1.503,0
97,0,37,0,7.193,1
98,0,37,0,1.035,1
99,0,37,0,4.626,1
