episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,8.791,1
1,0,0,0,11.211,1
2,0,0,0,10.016,1
3,0,0,0,8.872,1
4,0,1,0,5.307,0
5,0,2,0,0.046,0
6,0,2,0,8.109,1
7,0,2,0,3.399,1
8,0,2,0,38.546,0
9,0,2,0,23.326,1
10,0,2,0,10.975,1
11,0,3,0,8.947,0
12,0,3,0,4.834,1
13,0,3,0,4.214,1
14,0,4,0,2.074,0
15,0,5,0,0.050,0
16,0,5,0,14.798,1
17,0,6,0,24.788,0
18,0,7,0,0.061,0
19,0,7,0,12.594,1
20,0,7,0,35.881,0
21,0,7,0,4.244,1
22,0,8,0,3.081,0
23,0,9,0,0.050,0
24,0,10,0,18.748,0
25,0,11,0,0.044,0
26,0,11,0,14.191,1
27,0,11,0,26.795,1
28,0,11,0,0.056,1
29,0,11,0,22.032,1
30,0,12,0,5.984,0
31,0,13,0,0.060,0
32,0,13,0,11.011,1
33,0,13,0,13.140,1
34,0,13,0,1.753,1
35,0,13,0,0.085,1
36,0,14,0,5.550,0
37,0,15,0,0.056,0
38,0,15,0,35.235,0
39,0,15,0,14.450,1
40,0,15,0,34.998,0
41,0,15,0,7.286,1
42,0,15,0,12.266,1
43,0,16,0,33.198,0
44,0,17,0,0.063,0
45,0,18,0,8.254,0
46,0,19,0,0.052,0
47,0,19,0,19.644,1
48,0,19,0,9.222,1
49,0,19,0,37.747,0
50,0,19,0,8.105,1
51,0,19,0,8.027,1
52,0,19,0,15.914,1
53,0,20,0,3.203,0
54,0,21,0,0.063,0
55,0,21,0,7.168,1
56,0,22,0,3.102,0
57,0,23,0,34.981,0
58,0,24,0,0.053,0
59,0,25,0,7.061,0
60,0,26,0,0.071,0
61,0,26,0,9.015,1
62,0,26,0,8.625,1
63,0,26,0,9.995,1
64,0,26,0,8.516,1
65,0,26,0,8.150,1
66,0,27,0,3.778,0
67,0,28,0,0.061,0
68,0,28,0,5.899,1
69,0,28,0,10.039,1
