episode,steps,collisions,timeout,runtime_s,success
0,0,0,0,0.905,1
1,0,0,0,1.395,1
2,0,0,0,3.631,1
3,0,0,0,0.992,1
4,0,0,0,4.595,1
5,0,0,0,3.207,1
6,0,1,0,1.003,0
7,0,1,0,1.059,1
8,0,2,0,0.308,0
9,0,3,0,2.122,0
10,0,3,0,7.037,1
11,0,4,0,1.517,0
12,0,5,0,0.026,0
13,0,6,0,3.300,0
14,0,6,0,10.085,1
15,0,6,0,2.426,1
16,0,7,0,1.957,0
17,0,8,0,3.773,0
18,0,8,0,3.390,1
19,0,8,0,2.977,1
20,0,8,0,4.223,1
21,0,9,0,0.906,0
22,0,10,0,0.148,0
23,0,10,0,0.128,1
24,0,10,0,5.440,1
25,0,10,0,3.462,1
26,0,10,0,1.975,1
27,0,10,0,2.981,1
28,0,10,0,2.376,1
29,0,10,0,2.793,1
30,0,10,0,1.057,1
31,0,10,0,1.898,1
32,0,11,0,0.951,0
33,0,11,0,21.011,0
34,0,11,0,4.700,1
35,0,11,0,3.135,1
36,0,11,0,1.772,1
37,0,12,0,0.037,0
38,0,12,0,5.629,1
39,0,13,0,6.191,0
40,0,14,0,3.507,0
41,0,14,0,3.992,1
42,0,15,0,1.952,0
43,0,15,0,2.091,1
44,0,15,0,4.726,1
45,0,15,0,3.032,1
46,0,15,0,3.248,1
47,0,16,0,0.379,0
48,0,16,0,3.604,1
49,0,17,0,0.335,0
50,0,17,0,2.716,1
51,0,17,0,1.528,1
52,0,18,0,4.676,0
53,0,18,0,1.119,1
54,0,19,0,1.208,0
55,0,19,0,1.423,1
56,0,20,0,1.189,0
57,0,21,0,3.753,0
58,0,22,0,0.587,0
59,0,22,0,1.867,1
60,0,22,0,0.670,1
61,0,22,0,3.198,1
62,0,23,0,1.988,0
63,0,23,0,2.228,1
64,0,23,0,6.666,1
65,0,23,0,4.393,1
66,0,23,0,1.733,1
67,0,24,0,1.567,0
68,0,24,0,5.003,1
69,0,24,0,3.298,1
70,0,25,0,7.728,0
71,0,26,0,1.140,0
72,0,26,0,1.219,1
73,0,26,0,20.716,0
74,0,26,0,3.524,1
75,0,26,0,0.362,1
76,0,26,0,2.091,1
77,0,26,0,2.280,1
78,0,26,0,3.485,1
79,0,26,0,5.657,1
80,0,26,0,2.962,1
81,0,26,0,3.568,1
82,0,26,0,20.126,0
83,0,27,0,0.442,0
84,0,27,0,20.315,0
85,0,28,0,3.055,0
86,0,28,0,1.019,1
87,0,28,0,3.913,1
88,0,28,0,2.650,1
89,0,28,0,3.935,1
90,0,28,0,19.146,0
91,0,28,0,2.101,1
92,0,28,0,3.237,1
93,0,29,0,6.084,0
94,0,29,0,3.774,1
95,0,29,0,3.355,1
96,0,29,0,6.865,1
97,0,29,0,4.581,1
98,0,29,0,6.590,1
99,0,29,0,1.335,1
100,0,30,0,0.281,0
101,0,30,0,19.519,0
102,0,30,0,3.109,1
103,0,30,0,4.554,1
104,0,30,0,9.500,1
105,0,30,0,2.795,1
106,0,30,0,4.272,1
107,0,30,0,5.867,1
108,0,31,0,1.479,0
109,0,31,0,19.030,0
110,0,31,0,2.976,1
111,0,31,0,2.144,1
112,0,31,0,2.740,1
113,0,31,0,19.596,0
114,0,32,0,0.737,0
115,0,33,0,6.722,0
116,0,33,0,1.874,1
117,0,33,0,4.615,1
118,0,33,0,1.296,1
119,0,33,0,2.222,1
120,0,33,0,2.127,1
121,0,33,0,5.636,1
122,0,33,0,3.064,1
123,0,33,0,4.347,1
124,0,33,0,2.939,1
125,0,33,0,3.652,1
126,0,33,0,4.688,1
127,0,33,0,3.672,1
128,0,34,0,4.876,0
129,0,34,0,4.089,1
130,0,34,0,2.563,1
131,0,34,0,2.766,1
132,0,35,0,10.289,0
133,0,35,0,4.890,1
134,0,35,0,2.969,1
135,0,36,0,2.111,0
136,0,36,0,0.026,1
137,0,36,0,2.833,1
138,0,37,0,1.032,0
139,0,37,0,5.256,1
140,0,38,0,1.933,0
141,0,38,0,1.914,1
142,0,38,0,2.222,1
143,0,38,0,2.118,1
144,0,38,0,3.685,1
145,0,38,0,1.497,1
146,0,38,0,2.591,1
147,0,38,0,4.159,1
148,0,38,0,3.705,1
149,0,38,0,2.754,1
150,0,38,0,1.350,1
151,0,38,0,19.240,0
152,0,38,0,2.866,1
153,0,39,0,0.187,0
154,0,40,0,0.965,0
155,0,41,0,1.481,0
156,0,41,0,1.987,1
157,0,41,0,2.357,1
158,0,41,0,2.727,1
159,0,41,0,1.479,1
160,0,41,0,3.990,1
161,0,42,0,0.646,0
162,0,42,0,20.021,0
163,0,42,0,1.450,1
164,0,42,0,2.564,1
165,0,42,0,3.730,1
166,0,42,0,21.488,0
167,0,42,0,1.044,1
168,0,43,0,3.120,0
169,0,43,0,2.081,1
170,0,43,0,15.005,1
171,0,43,0,1.917,1
172,0,43,0,0.553,1
173,0,43,0,3.888,1
174,0,44,0,1.050,0
175,0,44,0,2.474,1
176,0,44,0,3.781,1
177,0,45,0,0.108,0
178,0,45,0,4.220,1
179,0,46,0,0.583,0
180,0,47,0,0.604,0
181,0,47,0,5.877,1
182,0,48,0,0.322,0
183,0,49,0,0.455,0
184,0,49,0,1.910,1
185,0,49,0,2.965,1
186,0,49,0,3.463,1
187,0,50,0,11.315,0
188,0,50,0,1.994,1
189,0,50,0,1.927,1
190,0,50,0,19.825,0
191,0,50,0,0.862,1
192,0,51,0,3.837,0
193,0,52,0,1.334,0
194,0,53,0,1.737,0
195,0,54,0,3.538,0
196,0,55,0,1.415,0
197,0,56,0,1.913,0
198,0,56,0,1.218,1
199,0,57,0,0.282,0
200,0,57,0,4.026,1
201,0,58,0,3.355,0
202,0,58,0,2.090,1
203,0,58,0,2.611,1
204,0,59,0,0.712,0
205,0,59,0,3.506,1
206,0,59,0,2.887,1
207,0,60,0,0.374,0
208,0,61,0,1.384,0
209,0,61,0,0.298,1
210,0,62,0,0.994,0
211,0,62,0,2.303,1
212,0,62,0,3.495,1
213,0,62,0,0.537,1
214,0,63,0,1.993,0
215,0,64,0,1.044,0
216,0,65,0,5.386,0
217,0,65,0,2.807,1
218,0,66,0,2.481,0
219,0,67,0,3.098,0
220,0,67,0,5.070,1
221,0,67,0,4.585,1
222,0,67,0,20.304,0
223,0,67,0,3.394,1
224,0,67,0,5.165,1
225,0,67,0,7.238,1
226,0,67,0,3.497,1
227,0,68,0,0.639,0
228,0,69,0,0.228,0
229,0,69,0,1.648,1
230,0,70,0,1.085,0
231,0,70,0,4.423,1
232,0,71,0,0.282,0
233,0,71,0,2.887,1
234,0,71,0,4.563,1
235,0,72,0,0.991,0
236,0,72,0,4.140,1
237,0,72,0,20.542,0
238,0,72,0,3.769,1
239,0,73,0,1.012,0
240,0,74,0,7.392,0
241,0,74,0,2.203,1
242,0,75,0,0.538,0
243,0,75,0,2.732,1
244,0,75,0,2.516,1
245,0,76,0,1.816,0
246,0,76,0,6.771,1
247,0,76,0,3.694,1
248,0,76,0,2.346,1
249,0,77,0,1.724,0
250,0,77,0,0.025,1
251,0,77,0,1.426,1
252,0,77,0,2.512,1
253,0,77,0,4.806,1
254,0,77,0,3.881,1
255,0,77,0,5.162,1
256,0,78,0,10.797,0
257,0,78,0,0.240,1
258,0,79,0,0.708,0
259,0,80,0,0.626,0
260,0,81,0,0.620,0
261,0,82,0,0.832,0
262,0,82,0,2.097,1
263,0,82,0,3.295,1
264,0,82,0,2.954,1
265,0,83,0,0.560,0
266,0,84,0,1.865,0
267,0,85,0,6.669,0
268,0,85,0,2.174,1
269,0,86,0,3.476,0
270,0,87,0,1.355,0
271,0,87,0,2.450,1
272,0,87,0,0.681,1
273,0,88,0,0.173,0
274,0,89,0,3.522,0
275,0,90,0,3.810,0
276,0,90,0,3.125,1
277,0,91,0,0.617,0
278,0,91,0,2.671,1
279,0,91,0,20.846,0
280,0,91,0,3.004,1
281,0,91,0,4.328,1
282,0,91,0,1.712,1
283,0,91,0,3.234,1
284,0,91,0,3.823,1
285,0,91,0,19.334,0
286,0,91,0,20.805,0
287,0,92,0,0.357,0
288,0,93,0,16.578,0
289,0,93,0,2.072,1
290,0,93,0,2.473,1
291,0,93,0,19.216,0
292,0,93,0,2.403,1
293,0,93,0,4.103,1
294,0,93,0,3.119,1
295,0,94,0,10.654,0
296,0,94,0,4.685,1
297,0,94,0,1.221,1
298,0,94,0,8.779,1
299,0,94,0,3.659,1
300,0,95,0,0.150,0
301,0,96,0,0.185,0
302,0,96,0,3.701,1
303,0,97,0,2.680,0
304,0,97,0,1.978,1
305,0,98,0,0.688,0
306,0,99,0,0.918,0
307,0,100,0,0.549,0
308,0,100,0,9.416,1
309,0,100,0,1.777,1
310,0,100,0,2.697,1
311,0,100,0,7.410,1
312,0,100,0,1.119,1
313,0,100,0,4.376,1
314,0,100,0,18.343,0
315,0,100,0,2.122,1
316,0,100,0,3.143,1
317,0,100,0,0.027,1
318,0,100,0,7.685,1
319,0,101,0,0.574,0
320,0,102,0,1.173,0
321,0,102,0,4.194,1
322,0,102,0,0.758,1
323,0,102,0,1.392,1
324,0,102,0,20.600,0
325,0,102,0,3.970,1
326,0,103,0,1.623,0
327,0,104,0,0.852,0
328,0,104,0,2.006,1
329,0,104,0,4.320,1
330,0,104,0,2.589,1
331,0,105,0,0.303,0
332,0,106,0,0.168,0
333,0,106,0,1.767,1
334,0,106,0,3.103,1
335,0,106,0,3.175,1
336,0,106,0,1.827,1
337,0,107,0,0.537,0
338,0,107,0,4.758,1
339,0,107,0,3.062,1
340,0,107,0,1.759,1
341,0,107,0,2.625,1
342,0,107,0,3.581,1
343,0,107,0,2.785,1
344,0,108,0,0.537,0
345,0,109,0,0.509,0
346,0,109,0,2.239,1
347,0,109,0,4.536,1
348,0,109,0,1.407,1
349,0,109,0,2.844,1
350,0,109,0,2.228,1
351,0,109,0,1.586,1
352,0,109,0,1.321,1
353,0,109,0,0.915,1
354,0,110,0,0.175,0
355,0,110,0,2.379,1
356,0,110,0,3.674,1
357,0,110,0,1.049,1
358,0,110,0,2.526,1
359,0,110,0,1.056,1
360,0,111,0,0.772,0
361,0,112,0,0.940,0
362,0,113,0,0.465,0
363,0,114,0,0.442,0
364,0,115,0,2.018,0
365,0,116,0,0.355,0
366,0,117,0,1.270,0
367,0,118,0,0.299,0
368,0,118,0,4.502,1
369,0,119,0,2.437,0
370,0,119,0,2.447,1
371,0,120,0,0.911,0
372,0,120,0,3.297,1
373,0,121,0,0.289,0
374,0,121,0,4.761,1
375,0,121,0,1.879,1
376,0,122,0,2.365,0
377,0,122,0,2.146,1
378,0,122,0,0.960,1
379,0,123,0,0.477,0
380,0,124,0,1.105,0
381,0,125,0,2.319,0
382,0,125,0,20.096,0
383,0,125,0,2.059,1
384,0,126,0,0.461,0
385,0,126,0,3.523,1
386,0,127,0,3.606,0
387,0,127,0,3.372,1
388,0,128,0,1.160,0
389,0,129,0,0.356,0
390,0,129,0,3.033,1
391,0,129,0,2.875,1
392,0,129,0,2.888,1
393,0,130,0,3.037,0
394,0,130,0,4.651,1
395,0,131,0,5.229,0
396,0,131,0,19.579,0
397,0,131,0,2.471,1
398,0,131,0,1.575,1
399,0,131,0,1.656,1
400,0,132,0,0.135,0
401,0,133,0,0.485,0
402,0,133,0,4.087,1
403,0,133,0,4.030,1
404,0,133,0,2.230,1
405,0,133,0,1.042,1
406,0,134,0,1.618,0
407,0,134,0,20.285,0
408,0,135,0,4.723,0
409,0,135,0,3.537,1
410,0,135,0,1.952,1
411,0,135,0,2.013,1
412,0,136,0,0.069,0
413,0,136,0,3.200,1
414,0,137,0,1.276,0
415,0,137,0,1.896,1
416,0,138,0,0.377,0
417,0,138,0,2.926,1
418,0,138,0,12.955,1
419,0,138,0,2.724,1
420,0,138,0,5.229,1
421,0,138,0,2.492,1
422,0,138,0,5.797,1
423,0,139,0,2.653,0
424,0,139,0,19.165,0
425,0,139,0,3.737,1
426,0,139,0,0.747,1
427,0,140,0,5.085,0
428,0,140,0,3.158,1
429,0,140,0,1.224,1
430,0,141,0,0.562,0
431,0,141,0,4.770,1
432,0,142,0,4.145,0
433,0,143,0,2.861,0
434,0,143,0,16.679,1
435,0,143,0,7.435,1
436,0,144,0,7.692,0
437,0,144,0,2.125,1
438,0,144,0,1.028,1
439,0,144,0,1.705,1
440,0,145,0,3.409,0
441,0,145,0,20.544,0
442,0,145,0,3.513,1
443,0,145,0,4.155,1
444,0,145,0,17.089,1
445,0,146,0,1.689,0
446,0,146,0,1.550,1
447,0,146,0,2.683,1
448,0,146,0,3.457,1
449,0,147,0,0.877,0
450,0,147,0,2.400,1
451,0,147,0,3.790,1
452,0,147,0,19.400,0
453,0,147,0,1.556,1
454,0,147,0,4.640,1
455,0,147,0,2.118,1
